Epoch,F1_Scores
0,20.62
1,25.63
2,32.64
3,31.58
4,32.45
5,39.52
6,44.6
7,45.04
8,45.39
9,49.21
10,49.84
11,53.43
12,51.86
13,55.32
14,54.94
15,55.77
16,57.84
17,57.58
18,58.68
19,59.16
20,60.29
21,59.93
22,60.56
23,61.13
24,60.87
25,61.38
26,61.17
27,60.39
28,63.38
29,61.89
30,63.17
31,62.2
32,63.18
33,63.4
34,62.98
35,63.68
36,62.39
37,64.34
38,64.1
39,64.41
40,63.26
41,65.13
42,64.34
43,64.57
44,64.5
45,64.26
46,65.26
47,63.84
48,64.95
49,65.27
50,65.12
51,65.14
52,65.67
53,65.55
54,65.43
55,65.0
56,66.59
57,65.41
58,66.49
59,66.13
60,65.42
61,65.78
62,66.01
63,65.78
64,66.2
65,66.67
66,66.01
67,66.88
68,66.48
69,65.36
70,66.69
71,66.89
72,66.34
73,67.41
74,66.97
75,66.46
76,67.14
77,67.54
78,65.82
79,67.8
80,66.81
81,67.37
82,67.3
83,67.01
84,66.33
85,67.22
86,67.28
87,65.98
88,66.99
89,67.4
90,67.13
91,67.54
92,67.21
93,66.82
94,67.6
95,67.48
96,66.76
97,67.16
98,67.05
99,66.09
100,68.17
101,66.68
102,68.03
103,66.46
104,67.95
105,66.56
106,67.84
107,67.34
108,67.01
109,66.93
110,67.51
111,67.78
112,67.11
113,68.01
114,67.22
115,67.55
116,67.59
117,67.63
118,68.46
119,67.53
120,68.27
121,67.65
122,67.85
123,67.99
124,68.01
125,68.02
126,68.09
127,68.34
128,67.8
129,68.9
130,66.78
131,68.68
132,66.61
133,68.73
134,68.42
135,67.44
136,67.67
137,67.27
138,67.69
139,68.18
140,68.07
141,68.03
142,68.21
143,67.11
144,68.5
145,67.73
146,67.73
147,67.18
148,68.23
149,67.61
150,67.98
151,68.15
152,66.92
153,67.96
154,67.18
155,67.78
156,67.92
157,67.49
158,67.84
159,67.27
160,67.54
161,67.45
162,68.13
163,66.95
164,67.34
165,67.44
166,68.12
167,67.56
168,67.51
169,66.75
170,68.38
171,67.24
172,67.56
173,67.32
174,67.21
175,67.56
176,67.13
177,67.85
178,66.61
179,68.09
180,67.47
181,66.85
182,66.53
183,67.32
184,67.02
185,68.34
186,66.93
187,67.68
188,66.86
189,67.01
190,67.69
191,67.55
192,67.45
193,67.41
194,66.75
195,66.85
196,67.07
197,67.74
198,66.88
199,67.02
200,67.19
201,67.08
202,67.48
203,66.96
204,67.31
205,67.45
206,67.23
207,67.17
208,67.54
209,66.68
210,67.99
211,67.6
212,67.15
213,67.61
214,67.35
215,67.21
216,67.37
217,67.25
218,67.53
219,67.25
220,67.54
221,67.17
222,67.17
223,67.72
224,66.57
225,67.6
226,67.1
227,67.7
228,67.23
229,67.09
230,66.38
231,67.23
232,67.09
233,66.91
234,68.03
235,66.57
236,68.15
237,66.9
238,67.49
239,66.71
240,68.04
241,67.52
242,67.79
243,68.61
244,67.09
245,67.02
246,68.21
247,67.11
248,66.95
249,68.07
250,66.37
251,67.61
252,68.2
253,67.83
254,67.67
255,67.52
256,66.93
257,67.56
258,66.83
259,67.95
260,66.87
261,67.58
262,67.34
263,67.4
264,67.4
265,67.07
266,67.53
267,67.38
268,67.3
269,66.73
270,67.41
271,67.37
272,67.4
273,67.08
274,66.89
275,67.82
276,68.12
277,67.16
278,67.28
279,66.94
280,67.96
281,66.69
282,67.65
283,67.15
284,67.54
285,67.77
286,67.22
287,67.37
288,67.62
289,66.93
290,66.74
291,66.97
292,66.95
293,67.67
294,67.28
295,66.81
296,66.52
297,66.9
298,67.32
299,67.19
300,67.23
301,66.53
302,66.8
303,67.69
304,66.68
305,67.96
306,66.11
307,66.7
308,67.25
309,66.7
310,67.73
311,67.05
312,67.48
313,67.48
314,67.22
315,66.85
316,67.6
317,66.34
318,67.47
319,67.39
320,67.43
321,67.89
322,66.83
323,67.01
324,67.56
325,67.55
326,67.57
327,68.21
328,66.31
329,67.36
330,66.55
331,66.42
332,67.22
333,66.75
334,68.07
335,66.46
336,67.49
337,66.79
338,67.62
339,67.06
340,67.91
341,66.57
342,67.76
343,67.52
344,67.19
345,67.14
346,66.84
347,67.45
348,67.43
349,67.34
350,66.85
351,67.06
352,66.45
353,66.81
354,67.29
355,66.96
356,67.36
357,66.76
358,67.01
359,67.03
360,67.03
361,66.73
362,66.58
363,66.75
364,66.87
365,67.37
366,67.37
367,66.84
368,67.37
369,66.36
370,67.41
371,67.46
372,66.76
373,67.13
374,67.0
375,67.14
376,66.79
377,67.35
378,66.54
379,66.95
380,66.58
381,66.6
382,67.42
383,66.52
384,66.5
385,65.98
386,66.77
387,66.71
388,67.11
389,66.53
390,66.78
391,66.09
392,67.07
393,66.64
394,66.76
395,66.67
396,66.81
397,66.67
398,66.5
399,66.85
400,66.09
401,66.78
402,67.75
403,66.85
404,67.3
405,67.27
406,67.17
407,66.82
408,67.32
409,67.8
410,66.65
411,67.19
412,67.51
413,66.81
414,67.47
415,66.6
416,66.86
417,66.79
418,67.03
419,67.1
420,66.35
421,67.71
422,67.27
423,67.1
424,67.34
425,67.18
426,67.35
427,66.51
428,66.84
429,67.67
430,66.56
431,67.22
432,66.68
433,67.36
434,66.91
435,67.07
436,67.18
437,67.0
438,66.49
439,67.2
440,67.12
441,67.41
442,66.63
443,66.7
444,67.0
445,67.21
446,67.0
447,66.94
448,66.7
449,67.29
450,67.34
451,66.93
452,66.9
453,67.13
454,66.65
455,67.08
456,66.84
457,66.82
458,66.95
459,66.57
460,66.83
461,66.78
462,66.89
463,66.47
464,66.78
465,66.82
466,66.73
467,65.54
468,66.43
469,66.85
470,66.63
471,67.22
472,65.99
473,66.15
474,66.17
475,66.88
476,66.94
477,66.43
478,67.14
479,66.88
480,66.23
481,66.89
482,66.44
483,67.19
484,66.93
485,67.02
486,66.71
487,66.72
488,66.82
489,67.19
490,66.95
491,66.7
492,66.61
493,67.18
494,66.67
495,66.9
496,67.39
497,66.98
498,67.11
499,66.98
500,66.77
501,66.92
502,66.52
503,66.91
504,66.47
505,67.02
506,67.04
507,66.82
508,66.56
509,66.55
510,66.72
511,66.75
512,66.38
513,66.79
514,66.21
515,66.81
516,66.74
517,66.82
518,66.28
519,66.78
520,67.11
521,66.79
522,66.4
523,66.28
524,66.62
525,66.74
526,66.34
527,67.23
528,66.45
529,67.26
530,67.21
531,66.67
532,66.82
533,67.25
534,67.0
535,66.94
536,67.39
537,66.6
538,67.38
539,67.3
540,66.75
541,67.22
542,66.72
543,66.89
544,66.93
545,67.28
546,66.66
547,67.65
548,66.98
549,67.35
550,67.66
551,66.35
552,66.75
553,66.47
554,66.96
555,66.69
556,66.61
557,66.25
558,66.12
559,66.38
560,66.37
561,66.62
562,66.37
563,66.72
564,66.98
565,66.73
566,66.59
567,66.75
568,66.24
569,66.56
570,66.58
571,66.48
572,66.48
573,66.36
574,66.52
575,66.18
576,67.03
577,66.31
578,66.62
579,66.63
580,66.71
581,66.34
582,66.34
583,66.24
584,66.54
585,66.26
586,66.81
587,66.85
588,66.51
589,67.25
590,66.77
591,66.56
592,67.03
593,66.71
594,66.92
595,66.98
596,66.32
597,66.67
598,66.7
599,67.05
600,67.2
601,65.8
602,66.56
603,67.05
604,66.53
605,66.92
606,66.68
607,66.19
608,66.67
609,67.08
610,67.14
611,66.97
612,67.13
613,67.15
614,67.19
615,66.79
616,67.06
617,65.95
618,66.63
619,66.62
620,66.31
621,66.87
622,65.83
623,66.48
624,67.27
625,66.09
626,67.4
627,67.63
628,67.36
629,67.38
630,66.65
631,67.19
632,66.36
633,67.25
634,66.39
635,66.62
636,66.33
637,67.03
638,67.23
639,66.55
640,66.68
641,67.13
642,66.77
643,66.75
644,66.97
645,66.63
646,66.58
647,67.24
648,66.77
649,67.2
650,66.66
651,66.08
652,67.21
653,66.86
654,67.46
655,66.52
656,67.53
657,65.47
658,66.75
659,66.98
660,67.11
661,67.12
662,66.55
663,66.42
664,67.75
665,66.42
666,65.66
667,66.86
668,66.16
669,66.61
670,66.18
671,66.43
672,66.48
673,66.43
674,66.6
675,66.71
676,66.08
677,66.74
678,66.38
679,66.18
680,66.47
681,66.92
682,66.61
683,67.27
684,67.02
685,67.04
686,66.8
687,67.61
688,65.83
689,67.07
690,67.37
691,67.32
692,66.85
693,66.33
694,66.93
695,66.85
696,66.69
697,66.33
698,65.95
699,66.36
700,66.75
701,67.41
702,67.09
703,66.56
704,67.73
705,65.7
706,67.07
707,66.62
708,67.2
709,66.62
710,67.06
711,67.41
712,67.48
713,67.04
714,66.52
715,66.67
716,67.5
717,66.74
718,67.19
719,67.24
720,67.4
721,67.15
722,67.4
723,67.03
724,66.27
725,67.43
726,66.52
727,66.6
728,66.78
729,66.63
730,66.58
731,67.08
732,66.99
733,67.25
734,66.99
735,66.84
736,66.37
737,66.97
738,66.66
739,66.66
740,66.69
741,67.1
742,67.1
743,66.57
744,66.76
745,66.76
746,66.5
747,66.36
748,66.86
749,66.01
